,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
2,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",Alianza Frente para la Victoria,5.97,11.83,6.82,3.11,64.38,6.46,1.43,17733,35164,20282,9245,191382,19207,4264,84.35,365513,308318,2.87,0.07,0.64,8858,202,1981,BUENOS AIRES
4,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",Alianza Frente para la Victoria,7.5,16.33,6.48,3.69,54.61,9.59,1.8,15477,33671,13355,7614,112623,19780,3718,81.46,261230,212795,2.45,0.08,0.55,5221,160,1176,BUENOS AIRES
10,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",Alianza Frente para la Victoria,6.35,10.9,6.76,3.34,63.43,7.75,1.47,11120,19090,11851,5849,111123,13584,2569,86.06,211826,182287,3.37,0.03,0.49,6151,54,896,BUENOS AIRES
34,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",Alianza Frente para la Victoria,6.06,10.65,7.16,2.86,64.0,7.82,1.45,8671,15223,10237,4090,91504,11182,2069,84.33,175752,148203,2.57,0.09,0.87,3808,137,1282,BUENOS AIRES
36,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",Alianza Frente para la Victoria,6.7,7.69,8.33,2.71,66.76,6.65,1.16,5000,5740,6219,2020,49822,4961,869,85.08,91352,77724,3.3,0.06,0.62,2566,44,483,BUENOS AIRES
38,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",Alianza Frente para la Victoria,5.01,7.35,4.64,2.58,73.66,5.84,0.93,9923,14569,9202,5107,145986,11569,1841,84.17,247147,208013,3.89,0.08,0.76,8086,158,1572,BUENOS AIRES
51,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",Alianza Frente para la Victoria,8.56,16.67,6.88,3.21,54.3,8.71,1.68,19763,38498,15895,7408,125400,20118,3870,81.47,293180,238853,2.29,0.1,0.92,5464,242,2195,BUENOS AIRES
57,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",Alianza Frente para la Victoria,9.06,14.48,7.09,3.48,56.89,7.37,1.64,9635,15406,7546,3697,60521,7841,1742,82.7,133358,110284,2.79,0.04,0.7,3078,48,770,BUENOS AIRES
58,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",Alianza Frente para la Victoria,9.46,17.06,7.07,3.56,53.21,8.03,1.61,9400,16946,7026,3532,52860,7975,1598,83.61,122648,102552,2.56,0.04,0.54,2622,40,553,BUENOS AIRES
59,BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",Alianza Frente para la Victoria,5.11,7.38,6.43,3.26,70.6,6.16,1.06,6826,9862,8594,4355,94331,8233,1419,83.51,168422,140648,4.08,0.05,0.87,5739,69,1220,BUENOS AIRES
64,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",Alianza Frente para la Victoria,7.65,16.35,7.48,3.5,55.16,8.41,1.45,21442,45813,20957,9813,154556,23568,4055,82.18,353328,290378,2.94,0.04,0.52,8538,112,1524,BUENOS AIRES
73,BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",Alianza Frente para la Victoria,6.0,13.78,8.14,3.08,60.78,6.72,1.49,20551,47170,27856,10541,208003,23003,5112,83.09,426106,354040,2.46,0.06,0.81,8727,221,2856,BUENOS AIRES
77,BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",Alianza Frente para la Victoria,4.74,7.03,11.82,2.74,67.83,4.94,0.9,7967,11814,19873,4615,114073,8304,1517,85.77,205641,176378,4.1,0.1,0.46,7224,184,807,BUENOS AIRES
80,BUENOS AIRES_LA MATANZA,"Matanza, Buenos Aires",Alianza Frente para la Victoria,6.56,9.99,5.72,2.95,67.56,6.13,1.09,44538,67832,38837,20055,458823,41634,7412,84.4,834863,704663,3.1,0.03,0.5,21815,192,3525,BUENOS AIRES
82,BUENOS AIRES_MERLO,"Merlo, Buenos Aires",Alianza Frente para la Victoria,6.08,9.22,6.77,3.24,67.2,6.36,1.13,16327,24761,18191,8700,180431,17067,3027,84.66,330576,279871,3.69,0.01,0.36,10328,26,1013,BUENOS AIRES
85,BUENOS AIRES_MORENO,"Moreno, Buenos Aires",Alianza Frente para la Victoria,6.73,9.31,6.6,2.86,66.95,6.44,1.12,14253,19739,13983,6063,141878,13643,2363,83.95,264813,222317,3.99,0.07,0.61,8870,161,1364,BUENOS AIRES
86,BUENOS AIRES_MORON,"Moron, Buenos Aires",Alianza Frente para la Victoria,9.5,21.12,7.38,3.34,48.24,8.47,1.94,18365,40838,14267,6457,93268,16384,3746,81.52,245819,200401,2.79,0.04,0.71,5590,73,1413,BUENOS AIRES
101,BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",Alianza Frente para la Victoria,7.1,14.64,5.79,3.07,59.61,8.1,1.68,22374,46124,18242,9686,187780,25523,5280,82.84,393462,325944,2.75,0.07,0.54,8957,229,1749,BUENOS AIRES
114,BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",Alianza Frente para la Victoria,7.45,16.6,7.03,2.8,53.87,10.12,2.14,6598,14694,6219,2477,47688,8955,1890,81.66,114618,93601,4.94,0.09,0.4,4621,85,374,BUENOS AIRES
115,BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",Alianza Frente para la Victoria,10.2,25.98,8.03,2.71,34.18,14.46,4.44,19846,50559,15619,5268,66518,28128,8649,80.04,252507,202109,2.89,0.06,0.77,5847,113,1562,BUENOS AIRES
116,BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",Alianza Frente para la Victoria,6.48,13.05,11.92,2.87,56.84,7.28,1.57,9599,19341,17659,4253,84225,10784,2325,81.92,188603,154507,3.34,0.09,0.67,5157,132,1032,BUENOS AIRES
