,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
2,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.25,6.66,2.92,62.85,12.57,1.18,7.3,2.66,0.26,0.36,9143,18758,8219,176942,35392,3326,20550,7493,724,1006,80.33,373670,300177,5.09,0.25,0.87,15276.0,749.0,2599.0,BUENOS AIRES
4,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.01,8.59,3.64,51.68,12.69,1.35,10.38,3.12,0.32,0.22,16303,17485,7397,105132,25826,2737,21112,6354,644,455,80.37,265216,213141,3.74,0.03,0.78,7962.0,72.0,1662.0,BUENOS AIRES
10,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.8,5.61,2.89,61.43,11.01,1.04,8.36,2.27,0.31,0.27,11588,9560,4928,104642,18755,1768,14245,3871,532,463,83.5,216575,180848,4.73,0.36,0.71,8560.0,659.0,1277.0,BUENOS AIRES
34,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.08,5.32,2.6,61.79,11.7,1.07,7.37,2.29,0.29,0.48,9883,7428,3631,86271,16334,1490,10289,3201,405,677,80.86,181426,146709,3.25,0.31,1.28,4769.0,458.0,1873.0,BUENOS AIRES
36,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.15,3.85,2.22,64.35,12.64,0.87,6.33,1.88,0.32,0.38,5142,2765,1599,46251,9083,625,4550,1349,232,274,81.46,94470,76953,5.86,0.05,0.69,4511.0,39.0,533.0,BUENOS AIRES
38,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.87,3.5,2.3,70.83,8.17,0.97,6.82,1.76,0.26,0.53,8939,6428,4218,130001,14994,1787,12512,3225,481,965,78.96,254674,201080,7.46,0.21,1.04,15001.0,430.0,2099.0,BUENOS AIRES
51,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.51,7.96,3.16,50.05,14.55,1.07,10.24,2.98,0.2,0.27,20827,17442,6927,109596,31868,2351,22420,6522,448,587,77.32,303068,234323,5.44,0.16,0.95,12746.0,368.0,2221.0,BUENOS AIRES
57,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.6,7.22,3.3,54.91,12.96,1.07,8.53,2.72,0.28,0.39,8444,7090,3242,53911,12727,1051,8379,2672,274,383,77.87,134659,104862,5.43,0.11,0.83,5699.0,116.0,874.0,BUENOS AIRES
58,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.75,9.13,3.4,49.67,13.89,1.28,9.8,2.59,0.27,0.21,9480,8869,3308,48270,13504,1244,9525,2517,266,207,81.81,125708,102836,4.78,0.06,0.65,4918.0,60.0,668.0,BUENOS AIRES
59,BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.94,2.96,2.33,69.27,11.5,1.01,6.98,1.32,0.23,0.46,4987,3748,2950,87689,14560,1282,8830,1671,288,578,78.52,174625,137122,6.14,0.31,1.24,8413.0,420.0,1706.0,BUENOS AIRES
64,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.27,7.84,3.42,51.94,14.96,1.2,9.25,2.61,0.22,0.28,22037,20905,9116,138447,39866,3186,24665,6961,586,758,78.16,360799,282012,4.69,0.15,0.66,13213.0,416.0,1856.0,BUENOS AIRES
