,Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
2,2.0,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",FRENTE PARA LA VICTORIA,39.72,60.28,133647,202868,83.77,412578,345606,1.37,0.05,1.21,4738,159,4194,BUENOS AIRES
4,4.0,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",FRENTE PARA LA VICTORIA,47.87,52.13,104775,114096,82.52,272641,224976,1.61,0.04,1.06,3617,96,2392,BUENOS AIRES
10,10.0,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",FRENTE PARA LA VICTORIA,41.31,58.69,82728,117545,85.46,240112,205194,1.55,0.06,0.79,3178,118,1625,BUENOS AIRES
34,34.0,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",FRENTE PARA LA VICTORIA,42.5,57.5,72495,98094,84.52,206851,174826,1.21,0.06,1.15,2121,108,2008,BUENOS AIRES
36,36.0,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",FRENTE PARA LA VICTORIA,40.54,59.46,38571,56577,85.16,114177,97231,1.16,0.04,0.94,1131,42,910,BUENOS AIRES
38,38.0,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",FRENTE PARA LA VICTORIA,30.98,69.02,71740,159816,83.31,283696,236349,1.26,0.04,0.73,2978,87,1728,BUENOS AIRES
51,51.0,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",CAMBIEMOS,50.46,49.54,127174,124868,81.98,316181,259200,1.55,0.08,1.13,4010,213,2935,BUENOS AIRES
57,57.0,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",FRENTE PARA LA VICTORIA,46.81,53.19,54324,61732,83.26,143144,119186,1.28,0.1,1.25,1523,114,1493,BUENOS AIRES
58,58.0,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",FRENTE PARA LA VICTORIA,49.76,50.24,55833,56381,84.29,136958,115441,1.93,0.08,0.78,2232,91,904,BUENOS AIRES
59,59.0,BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",FRENTE PARA LA VICTORIA,33.56,66.44,54325,107560,83.02,199130,165308,0.89,0.05,1.13,1473,83,1867,BUENOS AIRES
64,64.0,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",FRENTE PARA LA VICTORIA,48.34,51.66,144916,154863,82.9,371080,307618,1.64,0.07,0.84,5051,204,2584,BUENOS AIRES
73,73.0,BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",FRENTE PARA LA VICTORIA,41.63,58.37,158266,221906,82.89,470723,390186,1.49,0.05,1.03,5804,201,4009,BUENOS AIRES
77,77.0,BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",FRENTE PARA LA VICTORIA,38.71,61.29,78211,123852,84.67,244277,206835,1.2,0.08,1.03,2480,171,2121,BUENOS AIRES
80,80.0,BUENOS AIRES_LA MATANZA,"Matanza, Buenos Aires",FRENTE PARA LA VICTORIA,35.57,64.43,274154,496499,84.02,938162,788229,1.41,0.05,0.77,11097,395,6084,BUENOS AIRES
82,82.0,BUENOS AIRES_MERLO,"Merlo, Buenos Aires",FRENTE PARA LA VICTORIA,35.14,64.86,105812,195323,82.9,371705,308141,1.19,0.06,1.03,3659,174,3173,BUENOS AIRES
85,85.0,BUENOS AIRES_MORENO,"Moreno, Buenos Aires",FRENTE PARA LA VICTORIA,35.8,64.2,92263,165471,84.27,312947,263711,1.24,0.07,0.95,3272,194,2511,BUENOS AIRES
86,86.0,BUENOS AIRES_MORON,"Moron, Buenos Aires",CAMBIEMOS,54.73,45.27,115964,95934,82.57,264286,218232,1.55,0.05,1.3,3373,120,2841,BUENOS AIRES
101,101.0,BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",FRENTE PARA LA VICTORIA,44.94,55.06,159223,195085,83.6,433849,362707,1.39,0.08,0.85,5039,276,3084,BUENOS AIRES
