,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
2,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.44,1.02,4.68,42.96,2.89,22.01,85736,3317,15167,139341,9388,71369,79.79,419609,334826,2.3,0.07,0.77,7691,233,2584,BUENOS AIRES
4,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.08,0.75,4.29,39.08,3.29,19.51,72078,1634,9351,85151,7161,42503,76.86,289664,222642,1.63,0.06,0.45,3632,135,997,BUENOS AIRES
10,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,25.47,0.99,4.48,42.86,2.65,23.55,49341,1912,8671,83029,5137,45621,81.39,245757,200029,2.72,0.03,0.41,5439,63,816,BUENOS AIRES
34,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.77,1.01,4.14,42.14,2.38,21.57,47836,1683,6879,70068,3952,35865,77.54,221245,171544,2.23,0.08,0.76,3823,140,1298,BUENOS AIRES
36,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,25.54,1.18,4.13,44.29,2.13,22.72,23116,1068,3739,40079,1932,20560,79.69,117465,93609,2.65,0.06,0.62,2483,56,576,BUENOS AIRES
38,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,19.09,0.94,3.87,50.58,1.96,23.56,41257,2025,8359,109286,4233,50908,79.2,284202,225076,3.37,0.09,0.54,7585,201,1222,BUENOS AIRES
51,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.66,0.9,4.06,34.51,3.02,24.86,80459,2214,9993,85009,7432,61227,76.52,330387,252811,1.85,0.06,0.65,4671,159,1647,BUENOS AIRES
57,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.97,0.92,3.94,37.01,3.26,25.91,32982,1051,4482,42136,3710,29501,79.92,146145,116796,1.79,0.08,0.64,2096,93,745,BUENOS AIRES
58,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.35,0.94,4.15,35.11,4.46,22.99,35586,1037,4561,38618,4905,25292,81.02,138879,112518,1.81,0.07,0.36,2034,75,410,BUENOS AIRES
59,BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,19.24,1.02,3.98,49.5,1.91,24.35,30110,1597,6222,77445,2984,38099,79.81,203933,162749,3.07,0.07,0.73,5002,110,1180,BUENOS AIRES
64,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.5,0.73,4.15,37.21,2.99,21.41,96588,2093,11979,107297,8634,61727,77.93,378409,294911,1.73,0.05,0.45,5116,146,1331,BUENOS AIRES
73,BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.61,0.85,4.24,44.26,3.2,18.85,105326,3114,15611,162952,11785,69404,76.18,497657,379103,2.24,0.07,0.57,8496,273,2142,BUENOS AIRES
77,BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,18.55,0.73,3.82,42.11,1.74,33.05,36435,1435,7495,82720,3427,64928,83.09,243702,202499,2.5,0.07,0.42,5071,139,849,BUENOS AIRES
80,BUENOS AIRES_LA MATANZA,"Matanza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,23.12,0.97,4.08,48.19,2.42,21.22,170371,7138,30099,355043,17858,156319,76.63,992574,760639,2.59,0.07,0.47,19692,517,3602,BUENOS AIRES
82,BUENOS AIRES_MERLO,"Merlo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,20.22,0.94,3.79,47.71,2.46,24.87,58145,2717,10896,137161,7083,71515,79.37,373940,296803,2.42,0.07,0.63,7190,221,1875,BUENOS AIRES
85,BUENOS AIRES_MORENO,"Moreno, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,20.48,1.07,3.56,46.33,2.46,26.11,50194,2627,8719,113552,6033,63991,79.71,318677,254033,2.74,0.11,0.66,6955,282,1680,BUENOS AIRES
86,BUENOS AIRES_MORON,"Moron, Buenos Aires",ALIANZA CAMBIEMOS,38.18,0.85,4.02,31.25,4.82,20.88,80199,1792,8439,65653,10122,43871,78.62,273068,214686,1.47,0.07,0.61,3161,148,1301,BUENOS AIRES
101,BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.5,0.78,3.97,40.03,2.61,20.12,109620,2623,13389,135026,8791,67852,78.06,445232,347552,2.43,0.07,0.45,8448,243,1560,BUENOS AIRES
114,BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),28.67,0.99,3.33,29.91,2.45,34.66,28056,968,3256,29272,2398,33920,78.53,127642,100237,1.9,0.07,0.4,1900,66,401,BUENOS AIRES
115,BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",ALIANZA CAMBIEMOS,54.46,0.56,3.15,20.98,3.65,17.21,114566,1177,6618,44130,7673,36196,77.16,278076,214577,1.26,0.12,0.58,2712,257,1248,BUENOS AIRES
116,BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,29.88,0.84,3.84,37.32,2.61,25.51,51100,1431,6563,63822,4469,43636,79.87,220234,175905,2.07,0.11,0.6,3634,186,1064,BUENOS AIRES
123,BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),26.06,0.85,4.34,28.47,2.58,37.7,59093,1937,9845,64566,5849,85485,80.44,288933,232418,1.64,0.14,0.65,3808,324,1511,BUENOS AIRES
128,BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",ALIANZA CAMBIEMOS,35.2,0.98,4.17,32.91,3.26,23.48,76727,2146,9083,71724,7115,51172,77.09,289269,222989,1.63,0.07,0.55,3640,152,1230,BUENOS AIRES
131,BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",ALIANZA CAMBIEMOS,54.17,0.53,3.7,20.12,5.31,16.17,98080,964,6707,36425,9618,29281,76.14,241980,184237,1.14,0.07,0.51,2100,131,931,BUENOS AIRES
