,Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
3,3.0,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",FRENTE DE TODOS,6.58,3.28,60.23,1.67,26.73,1.52,22521,11218,206155,5730,91491,5187,83.13,421482,350391,1.27,0.19,0.85,4437,667,2985,BUENOS AIRES
5,5.0,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",FRENTE DE TODOS,6.3,2.78,55.27,1.1,32.99,1.55,13864,6120,121552,2426,72553,3408,82.14,272947,224201,1.32,0.13,0.46,2962,295,1021,BUENOS AIRES
12,12.0,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",FRENTE DE TODOS,6.87,3.11,59.1,1.75,27.69,1.48,13910,6288,119648,3540,56064,2994,84.75,244561,207272,1.6,0.24,0.49,3308,503,1017,BUENOS AIRES
36,36.0,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",FRENTE DE TODOS,6.65,3.04,58.23,1.63,28.95,1.51,11597,5303,101565,2838,50502,2629,83.81,213062,178575,1.59,0.09,0.64,2848,158,1135,BUENOS AIRES
38,38.0,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",FRENTE DE TODOS,6.49,2.95,60.31,1.73,27.08,1.44,6455,2930,59943,1716,26910,1432,83.73,121528,101758,1.83,0.05,0.45,1863,52,457,BUENOS AIRES
39,39.0,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",FRENTE DE TODOS,5.56,2.79,67.93,1.77,20.88,1.07,13440,6739,164339,4289,50520,2588,82.98,298858,247997,1.8,0.16,0.49,4456,405,1221,BUENOS AIRES
54,54.0,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",FRENTE DE TODOS,7.19,2.96,51.15,1.7,35.33,1.67,18064,7431,128547,4281,88785,4196,80.94,317002,256591,1.18,0.16,0.73,3023,400,1864,BUENOS AIRES
60,60.0,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",FRENTE DE TODOS,7.27,3.25,54.09,2.01,31.78,1.6,8444,3773,62868,2339,36941,1858,83.42,142125,118558,1.02,0.2,0.75,1214,235,886,BUENOS AIRES
61,61.0,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",FRENTE DE TODOS,7.6,3.23,50.74,1.19,35.65,1.59,8465,3592,56497,1322,39700,1771,83.77,135843,113791,1.22,0.26,0.67,1386,295,763,BUENOS AIRES
62,62.0,BUENOS AIRES_JOSE C. PAZ,"Jose C. Paz, Buenos Aires",FRENTE DE TODOS,5.48,2.95,66.69,2.08,21.63,1.17,9126,4913,111100,3464,36027,1956,81.84,208758,170853,1.62,0.26,0.61,2774,449,1044,BUENOS AIRES
65,65.0,BUENOS AIRES_LA MATANZA,"La Matanza, Buenos Aires",FRENTE DE TODOS,5.97,2.87,64.49,1.71,23.52,1.44,47282,22714,510420,13509,186183,11405,82.58,978640,808138,1.26,0.18,0.63,10148,1422,5055,BUENOS AIRES
67,67.0,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",FRENTE DE TODOS,6.76,2.84,53.57,1.12,34.23,1.49,19677,8261,155948,3249,99638,4351,82.46,359969,296820,1.4,0.13,0.39,4158,382,1156,BUENOS AIRES
75,75.0,BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",FRENTE DE TODOS,6.34,2.88,58.67,1.28,29.37,1.46,24033,10908,222416,4855,111315,5540,82.23,470972,387257,1.35,0.07,0.7,5217,281,2692,BUENOS AIRES
79,79.0,BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",FRENTE DE TODOS,5.84,2.9,62.21,1.92,25.77,1.36,12224,6063,130235,4018,53947,2852,83.74,255202,213715,1.32,0.24,0.49,2830,507,1039,BUENOS AIRES
83,83.0,BUENOS AIRES_MERLO,"Merlo, Buenos Aires",FRENTE DE TODOS,6.31,3.11,65.1,1.84,22.36,1.29,19720,9724,203593,5746,69932,4022,81.86,390462,319618,1.14,0.26,0.75,3655,843,2383,BUENOS AIRES
86,86.0,BUENOS AIRES_MORENO,"Moreno, Buenos Aires",FRENTE DE TODOS,5.9,3.18,63.9,2.0,23.74,1.29,15390,8286,166745,5227,61937,3362,82.48,324406,267575,1.61,0.15,0.72,4296,410,1922,BUENOS AIRES
