,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
3,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",FRENTE DE TODOS,7.26,4.38,60.53,1.8,0.31,22.73,0.98,0.14,0.12,1.74,23115,13960,192758,5745,985,72382,3126,449,382,5532,76.04,435057,330800,2.9,0.11,0.73,9587,356,2423,BUENOS AIRES
5,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",FRENTE DE TODOS,8.21,3.76,54.93,1.21,0.29,28.41,0.92,0.01,0.09,2.17,17300,7918,115765,2559,603,59884,1934,14,199,4574,76.67,283666,217496,2.46,0.16,0.49,5342,343,1061,BUENOS AIRES
12,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",FRENTE DE TODOS,8.47,3.93,59.01,2.03,0.3,23.49,0.82,0.1,0.09,1.75,16344,7577,113890,3914,584,45336,1592,200,176,3383,78.62,254729,200276,3.07,0.16,0.41,6140,312,828,BUENOS AIRES
36,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",FRENTE DE TODOS,8.42,3.82,58.42,1.77,0.32,24.61,0.75,0.1,0.09,1.7,13831,6271,95926,2908,519,40406,1233,165,153,2786,76.19,224264,170856,3.06,0.13,0.71,5225,214,1219,BUENOS AIRES
38,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",FRENTE DE TODOS,7.43,3.81,60.92,1.96,0.24,23.35,0.63,0.13,0.09,1.45,6705,3440,54998,1770,217,21084,565,113,79,1309,73.86,128172,94673,3.98,0.04,0.62,3765,38,590,BUENOS AIRES
39,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",FRENTE DE TODOS,5.77,3.33,68.62,1.67,0.27,18.33,0.73,0.0,0.11,1.16,12752,7357,151594,3688,590,40502,1619,6,247,2556,74.68,310064,231571,4.01,0.14,0.46,9277,328,1055,BUENOS AIRES
54,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",FRENTE DE TODOS,8.79,4.2,50.65,2.93,0.32,29.75,0.92,0.01,0.12,2.32,20818,9956,119973,6933,748,70475,2183,16,288,5484,74.17,330648,245241,2.47,0.14,0.8,6050,352,1965,BUENOS AIRES
60,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",FRENTE DE TODOS,8.91,4.31,53.73,2.65,0.27,26.94,0.91,0.0,0.13,2.16,9906,4796,59766,2943,296,29970,1011,4,140,2408,78.06,147017,114758,2.11,0.16,0.79,2427,182,909,BUENOS AIRES
61,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",FRENTE DE TODOS,10.33,4.25,50.19,1.59,0.23,30.15,0.96,0.02,0.11,2.17,10856,4463,52739,1673,243,31679,1010,18,115,2285,77.64,140051,108739,2.73,0.17,0.47,2970,181,507,BUENOS AIRES
62,BUENOS AIRES_JOSE C. PAZ,"Jose C. Paz, Buenos Aires",FRENTE DE TODOS,6.54,3.65,67.01,2.26,0.22,18.21,0.73,0.01,0.17,1.21,10140,5666,103956,3506,342,28244,1125,8,263,1878,74.59,216949,161830,3.52,0.11,0.51,5696,174,832,BUENOS AIRES
65,BUENOS AIRES_LA MATANZA,"La Matanza, Buenos Aires",FRENTE DE TODOS,7.04,3.86,64.37,1.94,0.29,19.94,0.7,0.12,0.09,1.65,52344,28698,478401,14396,2168,148172,5187,856,694,12298,76.48,1005748,769162,2.65,0.15,0.57,20419,1181,4348,BUENOS AIRES
67,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",FRENTE DE TODOS,8.89,3.9,53.7,1.32,0.24,28.94,0.95,0.01,0.08,1.96,24501,10753,147961,3631,666,79748,2618,20,231,5407,76.27,372872,284392,2.44,0.15,0.53,6930,418,1508,BUENOS AIRES
75,BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",FRENTE DE TODOS,7.75,3.85,58.52,1.35,0.25,25.21,0.95,0.12,0.09,1.91,27528,13691,207905,4803,896,89578,3364,416,320,6770,75.35,491229,370123,3.17,0.11,0.74,11715,394,2743,BUENOS AIRES
79,BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",FRENTE DE TODOS,6.97,3.58,62.71,2.21,0.23,21.96,0.66,0.0,0.1,1.58,13710,7050,123354,4351,443,43207,1301,2,187,3109,78.04,261490,204065,3.15,0.13,0.32,6418,271,662,BUENOS AIRES
83,BUENOS AIRES_MERLO,"Merlo, Buenos Aires",FRENTE DE TODOS,6.93,3.93,65.05,2.16,0.25,19.55,0.74,0.01,0.08,1.29,19107,10843,179287,5945,701,53875,2041,22,233,3545,73.37,392554,288031,3.46,0.14,0.71,9978,416,2038,BUENOS AIRES
86,BUENOS AIRES_MORENO,"Moreno, Buenos Aires",FRENTE DE TODOS,5.8,3.52,65.66,2.23,0.26,20.41,0.74,0.03,0.11,1.24,13612,8273,154190,5233,616,47929,1734,75,248,2914,72.48,336295,243752,2.92,0.11,0.64,7107,267,1554,BUENOS AIRES
87,BUENOS AIRES_MORON,"Moron, Buenos Aires",FRENTE DE TODOS,10.1,4.36,45.3,1.85,0.27,34.3,1.07,0.0,0.11,2.64,20401,8807,91515,3747,544,69303,2162,2,224,5331,77.2,270595,208906,2.35,0.12,0.82,4905,257,1708,BUENOS AIRES
102,BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",FRENTE DE TODOS,8.27,3.56,55.96,1.49,0.27,27.89,0.8,0.09,0.08,1.61,26804,11532,181453,4823,862,90426,2578,280,255,5215,73.42,457179,335645,2.74,0.14,0.53,9180,456,1781,BUENOS AIRES
115,BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",FRENTE DE TODOS,9.3,3.55,50.04,1.88,0.22,31.93,0.84,0.01,0.09,2.15,8831,3368,47495,1780,212,30304,802,5,84,2037,75.93,129382,98245,2.89,0.08,0.41,2844,76,407,BUENOS AIRES
