,id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
5,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",UNION POR LA PATRIA,41.1,58.9,140441,201239,77.27,455938,352282,1.59,0.05,1.37,5584,176,BUENOS AIRES
7,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",UNION POR LA PATRIA,42.4,57.6,93523,127060,77.5,294279,228075,2.11,0.08,1.1,4802,182,BUENOS AIRES
14,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",UNION POR LA PATRIA,44.25,55.75,94066,118509,79.9,273700,218694,1.72,0.02,1.06,3754,54,BUENOS AIRES
38,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",UNION POR LA PATRIA,46.89,53.11,84988,96277,77.93,240100,187100,1.57,0.06,1.49,2932,117,BUENOS AIRES
40,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",UNION POR LA PATRIA,48.1,51.9,52981,57175,78.92,142980,112840,1.62,0.02,0.73,1832,28,BUENOS AIRES
41,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",UNION POR LA PATRIA,36.85,63.15,91681,157084,75.6,336305,254242,1.58,0.02,0.56,4015,45,BUENOS AIRES
56,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",UNION POR LA PATRIA,47.82,52.18,122681,133850,75.35,351922,265179,1.85,0.07,1.34,4899,197,BUENOS AIRES
61,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",UNION POR LA PATRIA,46.4,53.6,54429,62875,76.68,157798,120996,1.4,0.05,1.61,1693,56,BUENOS AIRES
62,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",UNION POR LA PATRIA,47.66,52.34,52845,58026,77.71,148214,115180,2.38,0.06,1.3,2747,64,BUENOS AIRES
63,BUENOS AIRES_JOSE C. PAZ,"Jose C. Paz, Buenos Aires",UNION POR LA PATRIA,40.13,59.87,67356,100499,74.69,230333,172028,1.12,0.07,1.23,1926,124,BUENOS AIRES
66,BUENOS AIRES_LA MATANZA,"La Matanza, Buenos Aires",UNION POR LA PATRIA,38.81,61.19,303672,478833,76.72,1048994,804780,1.64,0.04,1.09,13193,334,BUENOS AIRES
68,BUENOS AIRES_LANUS,"Lanus, Buenos Aires",UNION POR LA PATRIA,43.89,56.11,123042,157320,77.01,377163,290468,2.17,0.07,1.24,6308,190,BUENOS AIRES
76,BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",UNION POR LA PATRIA,41.44,58.56,160971,227514,78.13,513934,401540,1.84,0.06,1.36,7383,221,BUENOS AIRES
80,BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",UNION POR LA PATRIA,43.33,56.67,92179,120549,77.89,279778,217928,1.22,0.11,1.05,2667,238,BUENOS AIRES
84,BUENOS AIRES_MERLO,"Merlo, Buenos Aires",UNION POR LA PATRIA,40.05,59.95,122827,183842,73.82,426951,315182,1.5,0.1,1.09,4741,322,BUENOS AIRES
87,BUENOS AIRES_MORENO,"Moreno, Buenos Aires",UNION POR LA PATRIA,40.5,59.5,108116,158839,75.59,363304,274614,1.83,0.09,0.87,5029,254,BUENOS AIRES
88,BUENOS AIRES_MORON,"Moron, Buenos Aires",LA LIBERTAD AVANZA,50.54,49.46,105225,102965,77.99,277634,216536,2.0,0.08,1.77,4341,180,BUENOS AIRES
102,BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",UNION POR LA PATRIA,43.37,56.63,156553,204429,77.89,476950,371503,1.87,0.05,0.91,6956,184,BUENOS AIRES
115,BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",UNION POR LA PATRIA,49.84,50.16,49865,50181,76.09,135417,103040,2.01,0.07,0.82,2073,77,BUENOS AIRES
116,BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",LA LIBERTAD AVANZA,64.65,35.35,130059,71104,76.85,272559,209469,2.19,0.1,1.67,4595,206,BUENOS AIRES
117,BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",LA LIBERTAD AVANZA,50.98,49.02,92652,89097,77.13,242727,187224,1.45,0.05,1.42,2722,100,BUENOS AIRES
124,BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",LA LIBERTAD AVANZA,52.05,47.95,128526,118382,76.85,331269,254579,1.54,0.05,1.42,3921,126,BUENOS AIRES
129,BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",UNION POR LA PATRIA,49.91,50.09,105315,105705,76.95,284472,218893,1.86,0.11,1.63,4074,233,BUENOS AIRES
131,BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",LA LIBERTAD AVANZA,62.61,37.39,106078,63362,77.24,230953,178380,2.9,0.07,2.04,5176,121,BUENOS AIRES
