,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
5,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",UNION POR LA PATRIA,4.42,3.55,18.36,23.11,50.55,15165,12191,63045,79349,173547,77.96,455602,355170,2.48,0.1,0.76,8821,343,BUENOS AIRES
7,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",UNION POR LA PATRIA,3.73,2.92,23.89,20.43,49.03,8370,6563,53651,45868,110106,78.56,294188,231114,2.21,0.16,0.47,5110,359,BUENOS AIRES
14,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",UNION POR LA PATRIA,4.39,3.42,18.42,25.54,48.23,9382,7307,39351,54563,103047,80.79,273353,220842,2.59,0.16,0.52,5709,343,BUENOS AIRES
38,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",UNION POR LA PATRIA,4.2,3.53,19.45,27.22,45.61,7584,6367,35116,49147,82369,78.2,239651,187400,2.74,0.13,0.77,5133,236,BUENOS AIRES
40,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",UNION POR LA PATRIA,3.72,3.04,16.29,29.88,47.08,4084,3339,17902,32832,51731,80.04,142896,114369,3.42,0.07,0.43,3916,75,BUENOS AIRES
41,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",UNION POR LA PATRIA,4.11,2.97,12.68,24.23,56.01,10133,7330,31242,59727,138034,76.51,335691,256830,3.57,0.07,0.4,9167,167,BUENOS AIRES
56,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",UNION POR LA PATRIA,3.94,3.32,24.34,24.47,43.92,10200,8584,62941,63294,113590,75.55,351839,265803,1.88,0.13,0.7,4989,357,BUENOS AIRES
61,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",UNION POR LA PATRIA,4.14,3.26,22.65,24.37,45.59,4978,3920,27228,29293,54804,78.21,157924,123514,1.69,0.19,0.79,2082,233,BUENOS AIRES
62,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",UNION POR LA PATRIA,4.11,3.66,25.79,22.95,43.49,4688,4168,29404,26170,49586,78.95,148066,116896,1.75,0.16,0.55,2050,187,BUENOS AIRES
63,BUENOS AIRES_JOSE C. PAZ,"Jose C. Paz, Buenos Aires",UNION POR LA PATRIA,4.18,3.01,14.33,24.98,53.49,7221,5206,24765,43166,92431,78.19,230026,179864,3.26,0.11,0.56,5868,199,BUENOS AIRES
