,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
5,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",UNION POR LA PATRIA,4.68,0.26,0.32,1.32,24.21,26.17,0.54,0.24,0.49,0.57,0.27,1.19,0.33,0.12,39.28,13408.0,755.0,929.0,3768.0,69329.0,74951.0,1548.0,684.0,1409.0,1640.0,771.0,3407.0,935.0,338.0,112486.0,67.97,455266,309453,6.28,0.17,1.01,19440,536,BUENOS AIRES
7,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",UNION POR LA PATRIA,4.09,0.18,0.21,1.11,29.61,21.27,0.44,0.17,0.51,0.29,0.22,1.23,0.25,0.11,40.3,7763.0,335.0,403.0,2113.0,56226.0,40389.0,834.0,321.0,976.0,548.0,419.0,2342.0,475.0,214.0,76513.0,69.01,294097,202967,5.64,0.15,0.66,11447,307,BUENOS AIRES
14,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",UNION POR LA PATRIA,4.23,0.02,0.24,1.19,24.18,27.77,0.47,0.22,0.48,0.44,0.32,1.38,0.18,0.11,38.75,7512.0,43.0,429.0,2121.0,42917.0,49296.0,837.0,393.0,853.0,779.0,576.0,2443.0,320.0,200.0,68787.0,70.18,273006,191607,6.5,0.15,0.71,12459,288,BUENOS AIRES
38,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",UNION POR LA PATRIA,4.15,0.17,0.37,1.29,25.19,30.29,0.45,0.33,0.47,0.72,0.29,1.03,0.24,0.12,34.9,6365.0,259.0,568.0,1974.0,38626.0,46445.0,688.0,500.0,717.0,1111.0,437.0,1583.0,365.0,186.0,53508.0,68.93,239202,164879,5.84,0.18,0.98,9625,304,BUENOS AIRES
40,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",UNION POR LA PATRIA,3.33,0.15,0.4,0.79,22.17,32.09,0.36,0.26,0.42,0.49,0.31,0.87,0.11,0.21,38.04,2895.0,127.0,348.0,690.0,19286.0,27915.0,314.0,224.0,369.0,427.0,272.0,757.0,92.0,179.0,33082.0,66.81,142812,95419,8.23,0.08,0.54,7852,79,BUENOS AIRES
41,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",UNION POR LA PATRIA,4.33,0.43,0.34,1.1,18.38,27.72,0.48,0.09,0.5,0.61,0.3,1.22,0.4,0.16,43.93,8672.0,863.0,688.0,2192.0,36778.0,55458.0,969.0,177.0,993.0,1229.0,610.0,2437.0,798.0,321.0,87894.0,64.96,335077,217666,7.34,0.18,0.56,15980,384,BUENOS AIRES
56,BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",UNION POR LA PATRIA,3.78,0.18,0.22,1.05,30.18,25.02,0.43,0.01,0.54,0.59,0.26,1.1,0.17,0.09,36.37,8304.0,405.0,474.0,2311.0,66338.0,55002.0,952.0,20.0,1180.0,1304.0,569.0,2426.0,384.0,194.0,79949.0,66.39,351756,233536,4.78,0.13,0.97,11155,308,BUENOS AIRES
61,BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",UNION POR LA PATRIA,3.57,0.15,0.19,0.92,27.79,23.78,0.35,0.05,0.45,0.5,0.37,1.02,0.23,0.13,40.48,3585.0,152.0,196.0,921.0,27947.0,23914.0,356.0,55.0,455.0,506.0,368.0,1027.0,227.0,133.0,40707.0,67.93,158050,107357,5.2,0.19,0.95,5581,209,BUENOS AIRES
62,BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",UNION POR LA PATRIA,4.52,0.13,0.29,1.28,32.29,23.76,0.51,0.12,0.47,0.44,0.31,1.28,0.27,0.12,34.23,4498.0,129.0,289.0,1270.0,32133.0,23645.0,510.0,116.0,469.0,438.0,305.0,1269.0,270.0,115.0,34068.0,70.94,147918,104937,4.33,0.14,0.69,4546,145,BUENOS AIRES
63,BUENOS AIRES_JOSE C. PAZ,"Jose C. Paz, Buenos Aires",UNION POR LA PATRIA,4.64,0.29,0.35,1.01,20.1,29.47,0.57,0.32,0.51,0.5,0.28,0.83,0.49,0.19,40.45,6143.0,382.0,467.0,1344.0,26631.0,39038.0,751.0,420.0,675.0,663.0,370.0,1094.0,649.0,252.0,53585.0,62.7,229719,144035,7.01,0.15,0.88,10095,215,BUENOS AIRES
